pmid,label,label_name,title_len,abstract_len,n_sentences,avg_sentence_len,n_authors,n_affiliations,n_grants,n_references,is_english,year,n_exaggeration,n_certainty,n_hedge,n_stats,digits_per_1000,single_author,design_meta,design_rct,design_case_report,design_cohort,design_basic,design_review
42656927,1,flipped,205,1168,6,194.7,7,9,0,27,1,2026,0,1,3,1,1.7,0,1,0,0,0,0,1
42644116,1,flipped,124,2392,7,341.7,4,4,0,44,1,2026,0,0,2,2,0.0,0,0,0,0,1,1,1
42497690,1,flipped,158,354,10,35.4,5,4,0,0,1,2026,0,0,0,0,45.2,0,0,0,0,1,0,0
42482715,1,flipped,154,2244,20,112.2,1,1,0,23,1,2026,0,4,4,1,18.7,1,0,0,0,1,0,0
42432960,1,flipped,156,1615,44,36.7,4,1,0,12,1,2026,0,4,0,2,54.5,0,0,0,0,1,0,0
42371203,1,flipped,142,1570,13,120.8,5,4,0,16,1,2026,0,1,5,0,3.2,0,0,0,1,0,0,0
42338815,1,flipped,118,2052,24,85.5,6,4,0,18,1,2026,0,0,1,0,43.9,0,0,0,0,1,0,0
42311081,1,flipped,106,1407,9,156.3,4,4,0,30,1,2026,0,2,0,0,19.2,0,0,0,0,0,0,0
42297270,1,flipped,133,1730,8,216.2,1,1,0,0,1,2026,0,0,0,0,1.2,1,0,0,0,0,0,1
42277084,1,flipped,133,1724,8,215.5,6,5,0,17,1,2026,0,2,1,0,1.7,0,0,0,0,0,0,0
42254242,1,flipped,101,1437,10,143.7,5,4,0,0,1,2026,0,1,2,2,4.2,0,0,0,0,0,0,0
42253791,1,flipped,69,1763,12,146.9,3,1,0,93,1,2026,0,0,5,1,3.4,0,0,0,0,0,0,0
42245901,1,flipped,155,1638,18,91.0,1,1,0,0,1,2026,1,1,2,2,30.5,1,0,0,0,1,0,0
42235148,1,flipped,96,385,11,35.0,1,1,0,0,1,2026,0,0,0,0,72.7,1,0,0,0,0,0,0
42234697,1,flipped,142,1343,7,191.9,4,1,0,312,1,2026,2,3,0,0,3.0,0,0,0,0,0,0,0
42208156,1,flipped,100,1933,9,214.8,7,4,0,0,1,2026,0,0,0,0,0.0,0,0,0,0,0,0,1
42192170,1,flipped,122,2672,16,167.0,6,5,0,90,1,2026,3,2,1,1,7.5,0,0,0,0,0,0,0
42181403,1,flipped,80,1674,12,139.5,6,6,0,11,1,2026,1,2,2,1,15.5,0,1,0,0,0,0,1
42134245,1,flipped,230,398,10,39.8,7,2,0,0,1,2026,0,0,0,0,72.9,0,0,0,0,0,0,0
42128232,1,flipped,189,2187,17,128.6,5,4,0,0,1,2026,0,2,3,0,7.3,0,0,0,0,0,1,0
42108279,1,flipped,140,1704,9,189.3,4,3,0,51,1,2026,1,0,2,0,25.2,0,0,0,0,0,1,0
42104705,1,flipped,75,1979,22,90.0,6,3,0,0,1,2026,0,2,1,7,33.4,0,0,0,0,1,0,0
42103119,1,flipped,128,2474,15,164.9,4,3,0,0,1,2026,1,2,0,0,15.8,0,0,0,0,0,1,0
42090157,1,flipped,56,3201,40,80.0,6,2,0,56,1,2026,0,0,1,5,44.0,0,0,0,0,1,0,0
42088811,1,flipped,119,1155,5,231.0,3,3,0,15,1,2026,1,0,2,0,0.0,0,1,0,0,0,0,1
42078275,1,flipped,164,2418,12,201.5,4,1,0,28,1,2026,0,1,0,0,2.1,0,0,0,0,0,0,0
42067177,1,flipped,148,1769,11,160.8,7,2,0,0,1,2026,2,1,1,2,4.5,0,0,0,0,0,0,0
42051968,1,flipped,125,1293,12,107.8,6,4,0,13,1,2026,0,0,2,0,6.2,0,0,0,1,1,0,0
42051416,1,flipped,158,1549,20,77.5,7,2,0,0,1,2026,1,2,0,1,24.5,0,0,0,0,1,0,0
42025157,1,flipped,136,1216,6,202.7,10,6,0,0,1,2026,0,0,1,0,19.7,0,0,0,0,0,0,0
42004068,1,flipped,188,2372,30,79.1,2,2,0,41,1,2026,2,1,1,8,43.8,0,0,0,0,1,0,0
42000148,1,flipped,143,1779,21,84.7,7,2,0,0,1,2026,0,0,0,3,27.0,0,0,1,0,0,0,0
41996449,1,flipped,138,1895,10,189.5,10,6,0,65,1,2026,0,0,2,0,13.7,0,0,0,0,0,0,0
41983851,1,flipped,165,1665,7,237.9,8,4,0,0,1,2026,0,0,2,0,4.8,0,0,0,0,0,0,0
41963348,1,flipped,131,1361,10,136.1,15,24,3,64,1,2026,0,0,1,0,11.8,0,0,0,0,0,1,0
41961866,1,flipped,176,2308,21,109.9,3,3,0,57,1,2026,0,3,1,1,20.4,0,0,0,0,0,0,0
